Model,ImageNet,CIFAR-100,V4,IT,IT (new data),IT (new images),Behavior,Behavior (new data),V4 (early),V4 (late),IT (early),IT (late),OST,Brain-Score,Depth,V4 number of features,IT number of features,Paper
BaseNet6 s112_brelu_noV1stride--180000,0.15954000000000002,,0.6238455070000001,0.474096093,,,0.09965143941830987,,,,,,0.0,0.29939825985457746,6.0,,,
BaseNet6 s112_brelu_noV1stride--280000,0.15924000000000002,,0.6115399570000001,0.470251256,,,0.10955176811182843,,,,,,0.0,0.2978357452779571,6.0,,,
BaseNet6 s112_brelu_noV1stride--220000,0.16035999999999997,,0.622980973,0.466844506,,,0.10093904456316882,,,,,,0.0,0.2976911308907922,6.0,,,
BaseNet6 s112_brelu_noV1stride--120000,0.16444000000000003,,0.619301157,0.466520531,,,0.10433318337358326,,,,,,0.0,0.2975387178433958,6.0,,,
BaseNet6 s112_belu_noV1stride--20000,0.20934,,0.6173860170000001,0.469254161,,,0.09940508912129656,,,,,,0.0,0.29651131678032416,6.0,,,
BaseNet6 s112_brelu_noV1stride--260000,0.16104,,0.6150130570000001,0.46498834,,,0.10479848525743107,,,,,,0.0,0.2961999705643578,6.0,,,
BaseNet6 s112_brelu_noV1stride--140000,0.15738,,0.614689079,0.478268095,,,0.09112819767021087,,,,,,0.0,0.2960213429175527,6.0,,,
BaseNet6 s112_brelu_noV1stride--200000,0.15872,,0.62275247,0.459354551,,,0.09826497934404667,,,,,,0.0,0.2950930000860117,6.0,,,
BaseNet6 s112_brelu_noV1stride--100000,0.16428,,0.612391261,0.48067044,,,0.08197914859653224,,,,,,0.0,0.293760212399133,6.0,,,
BaseNet6 s112_brelu_noV1stride--60000,0.14302,,0.612609861,0.46261880299999997,,,0.09621660652304138,,,,,,0.0,0.29286131763076034,6.0,,,
BaseNet6 s112_brelu_noV1stride--80000,0.15938,,0.612946572,0.46884808,,,0.08821739688781821,,,,,,0.0,0.2925030122219546,6.0,,,
BaseNet6 75_5--0,0.0008,,0.600070173,0.460968896,,,0.08736115602169356,,,,,,0.0,0.2871000562554234,6.0,,,
BaseNet6 75_3--0,0.0015,,0.600978229,0.467101516,,,0.07704687009199956,,,,,,0.0,0.28628165377299986,6.0,,,
BaseNet6 s112_brelu_noV1stride--40000,0.1222,,0.602626758,0.44744431700000004,,,0.09383831222355933,,,,,,0.0,0.2859773468058898,6.0,,,
BaseNet6 125_0--0,0.001,,0.607977435,0.466572375,,,0.06397723969657029,,,,,,0.0,0.28463176242414256,6.0,,,
BaseNet6 100_0--0,0.00086,,0.5964972820000001,0.45152956299999997,,,0.07157153305694905,,,,,,0.0,0.2798995945142373,6.0,,,
BaseNet6 s112_occ_noV1stride_6--0,0.0006,,0.604851845,0.452266799,,,0.05862379050291226,,,,,,0.0,0.2789356086257281,6.0,,,
BaseNet6 100_1--0,0.00146,,0.599649211,0.453655674,,,0.054862025702550776,,,,,,0.0,0.2770417276756377,6.0,,,
BaseNet6 50_0--0,0.001,,0.608908708,0.459335647,,,0.03820631522129146,,,,,,0.0,0.2766126675553229,6.0,,,
BaseNet6 50_1_fullV1--0,0.00084,,0.5985987229999999,0.441299516,,,0.04415333797691451,,,,,,0.0,0.27101289424422864,6.0,,,
BaseNet6 25_0--0,0.0010199999999999999,,0.5919971070000001,0.42991376299999995,,,0.051208943338075644,,,,,,0.0,0.26827995333451893,6.0,,,
BaseNet6 s112_reg_noV1stride_0--0,0.0010199999999999999,,0.601452833,0.442843511,,,0.023887386192169943,,,,,,0.0,0.2670459325480425,6.0,,,
BaseNet6 s112_gray_noV1stride_0--0,0.001,,0.581772133,0.427772007,,,0.057857556766030084,,,,,,0.0,0.2668504241915075,6.0,,,
BaseNet6 s112_1_noV1stride--0,0.00122,,0.5841679120000001,0.433253877,,,0.048321974843119495,,,,,,0.0,0.2664359409607799,6.0,,,
BaseNet6 s112_belu_noV1stride--0,0.001,,0.586167192,0.43169120299999997,,,0.04697136487216898,,,,,,0.0,0.26620743996804225,6.0,,,
BaseNet6 s112_gray_noV1stride_2--0,0.001,,0.581338491,0.429297085,,,0.05383930701736858,,,,,,0.0,0.2661187207543422,6.0,,,
BaseNet6 s112_2_noV1stride--0,0.001,,0.587140099,0.433478061,,,0.04295745895282381,,,,,,0.0,0.26589390473820596,6.0,,,
BaseNet6 s112_occ_noV1stride_2--0,0.0010199999999999999,,0.595002568,0.42634787799999996,,,0.041128392010513375,,,,,,0.0,0.26561970950262836,6.0,,,
BaseNet6 s112_brelu_noV1stride--20000,0.10529999999999999,,0.582495993,0.413311474,,,0.06210955157027779,,,,,,0.0,0.26447925464256944,6.0,,,
BaseNet6 s112_occ_noV1stride_4--0,0.0007400000000000001,,0.569502895,0.422010902,,,0.06027739785940239,,,,,,0.0,0.2629477987148506,6.0,,,
BaseNet6 s112_0_noV1stride--0,0.00096,,0.561556969,0.43889959700000003,,,0.04114080415814175,,,,,,0.0,0.26039934253953545,6.0,,,
BaseNet6 s112_occ_noV1stride_1--0,0.00118,,0.577749588,0.441045401,,,0.022364491680914943,,,,,,0.0,0.2602898701702287,6.0,,,
BaseNet6 s112_occ_noV1stride_5--0,0.00096,,0.585303848,0.436439191,,,0.018057732705788226,,,,,,0.0,0.25995019292644705,6.0,,,
BaseNet6 sep--0,0.00114,,0.575738572,0.420875335,,,0.034908513949411496,,,,,,0.0,0.25788060523735284,6.0,,,
BaseNet6 sep--80000,0.001,,0.5780488229999999,0.39829881899999997,,,0.05267363290418481,,,,,,0.0,0.2572553187260462,6.0,,,
BaseNet6 sep--60000,0.001,,0.57366946,0.406339968,,,0.038258608598916236,,,,,,0.0,0.2545670091497291,6.0,,,
BaseNet6 sep--40000,0.001,,0.588101185,0.40219216,,,0.016758019723761272,,,,,,0.0,0.25176284118094033,6.0,,,
BaseNet6 s112_brelu_noV1stride--0,0.001,,0.556454862,0.413945471,,,0.03453497397213928,,,,,,0.0,0.25123382674303485,6.0,,,
BaseNet6 sep--20000,0.001,,0.573819607,0.414211315,,,0.010550178243779127,,,,,,0.0,0.2496452750609448,6.0,,,
BaseNet6 s56_1_noV1stride--0,0.00084,,0.530861894,0.413171855,,,0.02481488429468953,,,,,,0.0,0.24221215832367235,6.0,,,
BaseNet6 50_s112_2--0,0.0010199999999999999,,0.540196132,0.406377838,,,0.010961334017769789,,,,,,0.0,0.23938382600444244,6.0,,,
IamNN,0.696,,,,,,,,,,,,0.0,,14.0,,,https://openreview.net/pdf?id=BkG3_ykDz
BaseNet6 25_0--100000,0.2978,,,,,,0.14974173041965044,,,,,,0.0,,6.0,,,
BaseNet6 s112_belu_noV1stride--40000,0.17817999999999998,,,,,,0.08952889645904619,,,,,,0.0,,6.0,,,
BaseNet6 s112_occ_noV1stride_6--40000,0.20288,,,,,,0.16230391775266723,,,,,,0.0,,6.0,,,
BaseNet6 s112_occ_noV1stride_6--60000,0.24644000000000002,,,,,,0.14985259983740198,,,,,,0.0,,6.0,,,
