Model,ImageNet,CIFAR-100,V4,IT,IT (new data),IT (new images),Behavior,Behavior (new data),V4 (early),V4 (late),IT (early),IT (late),OST,Brain-Score,Depth,V4 number of features,IT number of features,Paper
MobileNet v2_0.5_96,0.512,,0.6112784459562504,0.5549635639724196,,,0.261922315,,,,,,0.0,0.3570410812321675,151.0,,,https://arxiv.org/abs/1704.04861
BaseNet6 s112_2_noV1stride--400000,0.38571999999999995,,0.652467018,0.5762198279999999,,,0.19896797563156682,,,,,,0.0,0.3569137054078917,6.0,,,
BaseNet6 75_5--60000,0.29628,,0.64811827,0.571543393,,,0.20300231097532678,,,,,,0.0,0.3556659934938317,6.0,,,
MobileNet v2_0.35_128,0.508,,0.6131275470112251,0.5496334461394164,,,0.253032539,,,,,,0.0,0.3539483830376604,151.0,,,https://arxiv.org/abs/1704.04861
BaseNet6 50_1_fullV1--100000,0.38832,,0.647314615,0.578157611,,,0.18919743003484712,,,,,,0.0,0.35366741400871177,6.0,,,
BaseNet6 50_0--40000,0.22724,,0.642992524,0.5616339020000001,,,0.20899467871796082,,,,,,0.0,0.3534052761794902,6.0,,,
BaseNet6 100_1--40000,0.24745999999999999,,0.64647064,0.562119386,,,0.20459287679427937,,,,,,0.0,0.3532957256985698,6.0,,,
BaseNet6 s112_2_noV1stride--380000,0.382,,0.648355905,0.568989754,,,0.1954851486559729,,,,,,0.0,0.3532077019139932,6.0,,,
BaseNet6 50_0--80000,0.31945999999999997,,0.644322085,0.572342886,,,0.19574395833929856,,,,,,0.0,0.3531022323348247,6.0,,,
BaseNet6 s112_2_noV1stride--320000,0.38049999999999995,,0.648686061,0.568655161,,,0.19436572019873738,,,,,,0.0,0.35292673554968435,6.0,,,
BaseNet6 s112_2_noV1stride--300000,0.38472,,0.648552103,0.569298648,,,0.19229185827346734,,,,,,0.0,0.3525356523183668,6.0,,,
BaseNet6 50_1_fullV1--80000,0.31334,,0.64798304,0.573766515,,,0.18680195703207186,,,,,,0.0,0.35213787800801793,6.0,,,
BaseNet6 s112_2_noV1stride--340000,0.3849,,0.64165321,0.569296107,,,0.19693089137067138,,,,,,0.0,0.3519700520926678,6.0,,,
BaseNet6 100_0--20000,0.18014,,0.645432829,0.5519516170000001,,,0.2102952520581514,,,,,,0.0,0.35191992451453785,6.0,,,
BaseNet6 s112_gray_noV1stride_2--80000,0.26226,,0.645224491,0.564988371,,,0.19539435917811496,,,,,,0.0,0.35140180529452875,6.0,,,
SqueezeNet v1.1,0.575,,0.6515242770983589,0.5526415808769307,0.5308363047875071,0.5992740672701327,0.20139813685140573,0.4320548380140035,0.5684617612203535,0.288841587951864,0.44031516464824216,0.3463080335175129,0.0,0.35139099870667384,,43264.0,43264.0,https://arxiv.org/abs/1602.07360
BaseNet6 s112_2_noV1stride--220000,0.38054000000000004,,0.646233084,0.569345776,,,0.18957948995712304,,,,,,0.0,0.35128958748928074,6.0,,,
BaseNet6 s112_2_noV1stride--160000,0.37060000000000004,,0.646342968,0.573698527,,,0.18351515650580263,,,,,,0.0,0.35088916287645067,6.0,,,
BaseNet6 50_0--60000,0.27178,,0.640397232,0.57423328,,,0.18728949144246904,,,,,,0.0,0.3504800008606172,6.0,,,
BaseNet6 s112_2_noV1stride--360000,0.38578,,0.641167926,0.566406396,,,0.19264153251169622,,,,,,0.0,0.35005396362792407,6.0,,,
BaseNet6 75_5--40000,0.24996,,0.650355538,0.557271902,,,0.1923322999729466,,,,,,0.0,0.34998993499323666,6.0,,,
BaseNet6 s112_occ_noV1stride_1--100000,0.34078,,0.638426052,0.562494513,,,0.1976937688792597,,,,,,0.0,0.34965358346981495,6.0,,,
BaseNet6 s112_1_noV1stride--60000,0.29744,,0.6470671729999999,0.556603057,,,0.1944157916964574,,,,,,0.0,0.3495215054241143,6.0,,,
BaseNet6 s112_2_noV1stride--280000,0.38111999999999996,,0.638006579,0.566534395,,,0.19187977354464994,,,,,,0.0,0.3491051868861625,6.0,,,
BaseNet6 s112_2_noV1stride--180000,0.37674,,0.646865703,0.5654454720000001,,,0.18381080675814565,,,,,,0.0,0.3490304954395364,6.0,,,
BaseNet6 s112_2_noV1stride--120000,0.37554000000000004,,0.650297833,0.565748826,,,0.17981535742088803,,,,,,0.0,0.348965504105222,6.0,,,
BaseNet6 s112_occ_noV1stride_5--80000,0.2937,,0.631210433,0.559554468,,,0.20450355006633525,,,,,,0.0,0.34881711276658384,6.0,,,
BaseNet6 s112_2_noV1stride--200000,0.37858,,0.6443917610000001,0.5649071960000001,,,0.18490598066631936,,,,,,0.0,0.34855123441657987,6.0,,,
MobileNet v2_0.35_96,0.455,,0.6100306977228721,0.5398343502823122,,,0.243968245,,,,,,0.0,0.3484583232512961,151.0,,,https://arxiv.org/abs/1704.04861
BaseNet6 s112_occ_noV1stride_5--100000,0.35235999999999995,,0.638764989,0.562068306,,,0.19191294618646276,,,,,,0.0,0.3481865602966157,6.0,,,
MobileNet v1_0.25_192,0.47700000000000004,0.5986,0.599544104581025,0.55108718969977,0.5379228004319867,0.6459595308887106,0.24185083899999998,0.382443053524626,0.5476474895750476,0.2571584552983589,0.4491980932957345,0.3442223835615342,0.0,0.34812053332019877,41.0,256.0,256.0,https://arxiv.org/abs/1704.04861
BaseNet6 s112_2_noV1stride--260000,0.38101999999999997,,0.6435473079999999,0.56357116,,,0.18534713350946372,,,,,,0.0,0.3481164003773659,6.0,,,
BaseNet6 s112_2_noV1stride--100000,0.36606,,0.644558703,0.568077637,,,0.1779127234378604,,,,,,0.0,0.3476372658594651,6.0,,,
BaseNet6 s112_2_noV1stride--140000,0.37578,,0.6396288410000001,0.5669959,,,0.1835655399767496,,,,,,0.0,0.3475475702441874,6.0,,,
BaseNet6 s112_2_noV1stride--240000,0.38012,,0.643195505,0.562822294,,,0.18339914621020004,,,,,,0.0,0.34735423630255,6.0,,,
BaseNet6 s112_gray_noV1stride_2--100000,0.32275999999999994,,0.64414404,0.575521617,,,0.16869679325021014,,,,,,0.0,0.3470906125625526,6.0,,,
BaseNet6 100_1--20000,0.17914000000000002,,0.642868957,0.55197925,,,0.19307503064264914,,,,,,0.0,0.34698080941066234,6.0,,,
