ImageNet,Behavior
0.001,0.03268201373515182
0.02492,0.1291185630944621
0.0505,0.1099490594262743
0.091,0.1345009371880256
0.11822,0.17365343302354283
0.12884,0.16216963082890795
0.18408,0.1984031116766079
0.21246,0.17310455961828974
0.22782,0.21636277784608943
0.22892,0.22374828552637022
0.27084,0.22843436170094436
0.2942,0.19065385204168558
0.28616,0.21855929790968381
0.28442,0.23434458044106965
0.31712,0.22569940101486516
0.32862,0.24572864767141847
0.308,0.2317855121449415
0.33392,0.22691720929554732
0.31648,0.2466505689405865
0.33288,0.21824177351277557
0.32428,0.24559597992840565
0.313,0.2623797624055362
0.31952,0.2257902653337896
0.35278,0.23186071573259223
0.35276,0.24131558383759757
0.36164,0.2596336701319398
0.35004,0.2671141879309416
0.37642,0.2770712483847838
0.36538,0.24287732551999738
0.38108,0.26670272778822546
0.39194,0.2635418396062554
0.38012,0.2539920503587483
0.39338,0.2602228999544769
0.38698,0.2596342719651725
0.40224,0.2874214661409028
0.37134,0.2694805973209656
0.37316,0.23581176313122046
0.38306,0.25370005930484135
0.37646,0.24126694700239965
0.39452,0.25860424057720327
0.40602,0.28077156669631614
0.413,0.26562061096574435
0.41062,0.2628038705075987
0.40478,0.26991962257451185
0.38592,0.2683385741450819
0.39628,0.2548927224500489
0.37428,0.25942042277336663
0.42736,0.2835397099269513
0.41028,0.2795040753167908
0.40026,0.25967816421760687
0.3892,0.2682548548502284
0.54058,0.3012428062554364
0.55262,0.30829239279192816
0.55754,0.3283503962120322
0.56134,0.3252716218898811
0.56668,0.3258725224639241
0.56326,0.31878445957960316
0.57046,0.3154627106444117
0.5693,0.3171502750035355
0.56984,0.3214360209754134
0.57494,0.31794505598585776
0.57398,0.31124240053944635
0.57514,0.32020323081779284
0.5747,0.3072115787070655
0.56868,0.3054783137011986
0.57896,0.33401160881137165
0.57854,0.31899941516501534
0.56982,0.32132884145238694
0.57802,0.3019282383362405
0.57746,0.33288929804690987
0.57822,0.31388162502740286
0.5769,0.29381275043050115
0.57696,0.32094795418055416
0.58076,0.31642024194264606
0.58196,0.3300188773213056
0.58178,0.31187339197771197
0.5786,0.32276017667175777
0.58174,0.2894534842251413
0.57858,0.3022653914222121
0.5811,0.3196694354504486
0.58292,0.32117999820601645
0.5808,0.29607098210135985
0.58434,0.30814633594554347
0.58146,0.3042710738547319
0.57866,0.3288002180554301
0.58576,0.3242145666489132
0.57732,0.3066719243664624
0.5873,0.3246139521515563
0.56856,0.3355690157049673
0.58152,0.32370319367493305
0.56812,0.2912139204831331
0.58208,0.31430482068755455
0.58418,0.28579542043308515
0.5768,0.2991058513132892
0.58416,0.3118139605917426
0.58368,0.3210320481449597
0.58028,0.3125873536879574
0.58674,0.3165579583747337
0.57968,0.3095113676637368
0.58396,0.3220459530275053
0.58394,0.3146066245603667
0.61242,0.32627288500741086
0.61406,0.3262812119547689
0.61844,0.33103224368063505
0.61828,0.3236908653109553
0.61926,0.3227435099150304
0.6192,0.32326933728308427
0.62144,0.32719132550704555
0.62086,0.32092485476865706
0.62224,0.3209943303879966
0.62234,0.3166545113059303
0.62168,0.31701961406559737
0.6222,0.31906918739815304
0.6231,0.31520564475972324
0.62194,0.3210587852822286
0.62346,0.31944826927164427
0.62318,0.3183496276083263
0.62432,0.3183506897759925
0.62278,0.32472747628095244
0.62448,0.31998290028552384
0.62402,0.32669656777256495
0.62394,0.3197196199270156
0.62594,0.31530087018906444
0.62624,0.318658732962413
0.62574,0.3113973966144523
0.62532,0.3200291240760707
0.6261,0.32076071535616685
0.62566,0.31094479778473577
0.62598,0.31519687397853696
0.62604,0.31082147255600817
0.62738,0.31459705443125136
0.62496,0.3117401923616698
0.62688,0.31021454182317776
0.62736,0.3135233888580416
0.6261,0.30751088067688237
0.62734,0.30746354553392863
0.62714,0.31385513184464797
0.62892,0.3108724693778104
0.6281,0.3137495310842399
0.62762,0.31499060266661744
0.62822,0.3118864229375509
0.6278,0.30971065412731735
0.6282,0.30532704314156234
0.62914,0.3109110410399569
0.63008,0.3223777288996866
0.6294,0.32295071799204034
0.62816,0.30915092978769093
0.6294,0.31077259363213094
0.62826,0.311316323909731
0.6294,0.3172662162742723
0.62986,0.3101944520815798
0.63192,0.3104827908808148
0.632,0.30631878202829976
0.63136,0.30632716467808635
0.63222,0.3136929514421194
0.63252,0.3147311518191509
0.63194,0.3150780451586858
0.63204,0.31009820431032725
0.63266,0.3112493260960718
0.6323,0.3126818701497892
0.63196,0.3181535762678474
0.63276,0.31202257620715823
0.63268,0.31840782740269574
0.63304,0.31415796037066374
0.63212,0.31085158298145127
0.63182,0.3085130309741902
0.63318,0.3094682132235383
0.63288,0.30599403829374516
0.6323,0.31165764454023465
0.6327,0.3079714226038908
0.63296,0.313845582956762
0.6327,0.3124481904643739
0.63298,0.30599111901326326
0.63284,0.3040013760433498
0.6321,0.3128927320407816
0.63282,0.31220561030980193
0.63278,0.3069131915701952
0.63274,0.31462228590578983
0.633,0.3100684307198944
0.6329,0.3148570566227995
0.63222,0.30701051623096487
0.63256,0.31088297677626875
0.63316,0.313415685271592
0.63328,0.308936378958311
0.63276,0.3111075685800006
0.63308,0.3083684068756545
0.63314,0.3127047847691695
0.6326,0.3107432842688523
0.63296,0.31526829190832056
0.63334,0.30854078301236537
0.6332,0.3090049660483622
0.63326,0.31244859941931236
0.63284,0.3095799312157691
0.63314,0.31376722319601175
0.63282,0.31248193259425555
0.6337,0.30703505503227047
0.63426,0.30403826945787704
0.6331,0.317252320980113
0.63292,0.3151299244122771
0.63324,0.3157721922144261
0.63356,0.31019352743618
0.63354,0.3120119574821898
0.63286,0.3123947261820187
0.63338,0.3082655588905683
0.63396,0.3061031929106043
0.6333,0.30901627094625045
0.63338,0.3157499316367432
0.63324,0.31238288856518953
0.6333,0.3113789298168729
0.63376,0.31349813980826413
0.63338,0.31124917491683096
0.63314,0.31206479156655587
0.63314,0.31403130510803645
0.63364,0.3073417810503982
0.63358,0.31249235363039846
0.6336,0.30917197061540547
0.63334,0.30959877983746764
0.6336,0.3140667726928734
0.63394,0.3115368645257273
0.63354,0.31354955481028235
0.6335,0.3121355876557326
0.63316,0.31189065874300437
0.63358,0.30898311533699496
0.63316,0.309854423787621
0.63372,0.3050486006888886
0.63284,0.30913056989894677
0.63338,0.3095907587007105
0.63374,0.3079334499890079
0.63336,0.3133086885109104
0.63328,0.3068451081738774
0.63284,0.3125005221630522
0.6338,0.3103264598067266
0.63308,0.3102393863917748
0.63354,0.3153564929551296
0.63382,0.30833493427947983
0.63318,0.30895072951065694
0.63336,0.3073678944989755
0.63384,0.31018534995957076
0.63338,0.306612468586918
0.63334,0.3109305254445408
0.63294,0.3102153225925529
0.6337,0.31045678508792685
0.63328,0.3094275721870229
0.63298,0.3133438132223973
0.63362,0.31249439660752804
0.63356,0.3100990694393328
0.63352,0.3075989632837837
